pointwise: 30600 calls (8x3 judges x 1275 answers)
  [pointwise] 50/30600     0.6s   86.3/s
  [pointwise] 100/30600     1.8s   55.5/s
  [pointwise] 150/30600     2.0s   75.3/s
  [pointwise] 200/30600     2.3s   87.5/s
  [pointwise] 250/30600     2.5s   98.5/s
  [pointwise] 300/30600     2.7s  109.2/s
  [pointwise] 350/30600     3.1s  113.8/s
  [pointwise] 400/30600     3.3s  122.9/s
  [pointwise] 450/30600     3.5s  127.4/s
  [pointwise] 500/30600     3.8s  131.6/s
  [pointwise] 550/30600     4.1s  134.6/s
  [pointwise] 600/30600     4.4s  135.3/s
  [pointwise] 650/30600     4.7s  139.6/s
  [pointwise] 700/30600     5.0s  140.5/s
  [pointwise] 750/30600     5.2s  144.9/s
  [pointwise] 800/30600     5.5s  145.7/s
  [pointwise] 850/30600     5.7s  150.2/s
  [pointwise] 900/30600     5.9s  151.4/s
  [pointwise] 950/30600     6.2s  153.2/s
  [pointwise] 1000/30600     6.4s  156.1/s
  [pointwise] 1050/30600     6.7s  157.2/s
  [pointwise] 1100/30600     6.9s  160.2/s
  [pointwise] 1150/30600     7.2s  160.1/s
  [pointwise] 1200/30600     7.4s  162.3/s
  [pointwise] 1250/30600     7.7s  163.1/s
  [pointwise] 1300/30600     7.9s  163.8/s
  [pointwise] 1350/30600     8.2s  165.2/s
  [pointwise] 1400/30600     8.5s  165.6/s
  [pointwise] 1450/30600     8.7s  165.9/s
  [pointwise] 1500/30600     9.0s  166.6/s
  [pointwise] 1550/30600     9.2s  168.3/s
  [pointwise] 1600/30600     9.5s  167.7/s
  [pointwise] 1650/30600     9.8s  167.9/s
  [pointwise] 1700/30600    10.1s  168.9/s
  [pointwise] 1750/30600    10.4s  168.5/s
  [pointwise] 1800/30600    10.7s  167.7/s
  [pointwise] 1850/30600    11.1s  167.2/s
  [pointwise] 1900/30600    11.5s  165.8/s
  [pointwise] 1950/30600    11.7s  167.2/s
  [pointwise] 2000/30600    12.0s  166.1/s
  [pointwise] 2050/30600    12.4s  165.2/s
  [pointwise] 2100/30600    12.7s  164.8/s
  [pointwise] 2150/30600    13.0s  165.4/s
  [pointwise] 2200/30600    13.3s  165.0/s
  [pointwise] 2250/30600    13.6s  165.6/s
  [pointwise] 2300/30600    13.9s  165.8/s
  [pointwise] 2350/30600    14.1s  166.2/s
  [pointwise] 2400/30600    14.3s  167.5/s
  [pointwise] 2450/30600    14.6s  167.8/s
  [pointwise] 2500/30600    14.8s  168.8/s
  [pointwise] 2550/30600    15.1s  169.0/s
  [pointwise] 2600/30600    15.4s  168.7/s
  [pointwise] 2650/30600    16.0s  166.1/s
  [pointwise] 2700/30600    16.6s  162.5/s
  [pointwise] 2750/30600    17.0s  161.4/s
  [pointwise] 2800/30600    17.5s  159.7/s
  [pointwise] 2850/30600    18.1s  157.1/s
  [pointwise] 2900/30600    18.7s  155.4/s
  [pointwise] 2950/30600    19.1s  154.3/s
  [pointwise] 3000/30600    19.9s  151.0/s
  [pointwise] 3050/30600    20.2s  150.8/s
  [pointwise] 3100/30600    20.8s  149.3/s
  [pointwise] 3150/30600    21.4s  146.9/s
  [pointwise] 3200/30600    21.9s  145.8/s
  [pointwise] 3250/30600    22.6s  144.0/s
  [pointwise] 3300/30600    23.3s  141.6/s
  [pointwise] 3350/30600    23.7s  141.6/s
  [pointwise] 3400/30600    24.4s  139.4/s
  [pointwise] 3450/30600    25.0s  138.1/s
  [pointwise] 3500/30600    25.6s  137.0/s
  [pointwise] 3550/30600    26.2s  135.5/s
  [pointwise] 3600/30600    26.7s  134.9/s
  [pointwise] 3650/30600    27.3s  133.6/s
  [pointwise] 3700/30600    28.0s  132.2/s
  [pointwise] 3750/30600    28.6s  131.0/s
  [pointwise] 3800/30600    29.4s  129.3/s
  [pointwise] 3850/30600    29.7s  129.8/s
  [pointwise] 3900/30600    30.1s  129.8/s
  [pointwise] 3950/30600    30.4s  130.0/s
  [pointwise] 4000/30600    30.7s  130.1/s
  [pointwise] 4050/30600    31.1s  130.3/s
  [pointwise] 4100/30600    31.4s  130.6/s
  [pointwise] 4150/30600    31.7s  130.9/s
  [pointwise] 4200/30600    32.0s  131.4/s
  [pointwise] 4250/30600    32.3s  131.6/s
  [pointwise] 4300/30600    32.5s  132.1/s
  [pointwise] 4350/30600    32.9s  132.1/s
  [pointwise] 4400/30600    33.2s  132.7/s
  [pointwise] 4450/30600    33.5s  132.7/s
  [pointwise] 4500/30600    34.0s  132.4/s
  [pointwise] 4550/30600    34.3s  132.8/s
  [pointwise] 4600/30600    34.6s  132.8/s
