pointwise: 30600 calls (8x3 judges x 1275 answers)
  [pointwise] 50/30600     1.9s   25.8/s
  [pointwise] 100/30600     2.7s   37.3/s
  [pointwise] 150/30600     3.4s   44.3/s
  [pointwise] 200/30600     4.2s   48.0/s
  [pointwise] 250/30600     4.8s   52.1/s
  [pointwise] 300/30600     5.5s   54.7/s
  [pointwise] 350/30600     6.2s   56.0/s
  [pointwise] 400/30600     6.9s   58.0/s
  [pointwise] 450/30600     7.6s   59.2/s
  [pointwise] 500/30600     8.3s   60.0/s
  [pointwise] 550/30600     9.1s   60.4/s
  [pointwise] 600/30600     9.9s   60.9/s
  [pointwise] 650/30600    10.7s   60.7/s
  [pointwise] 700/30600    11.4s   61.2/s
  [pointwise] 750/30600    12.1s   61.8/s
  [pointwise] 800/30600    12.9s   62.2/s
  [pointwise] 850/30600    13.6s   62.5/s
  [pointwise] 900/30600    14.3s   63.0/s
  [pointwise] 950/30600    14.9s   63.6/s
  [pointwise] 1000/30600    15.7s   63.9/s
  [pointwise] 1050/30600    16.4s   63.9/s
  [pointwise] 1100/30600    17.1s   64.3/s
  [pointwise] 1150/30600    17.7s   65.0/s
  [pointwise] 1200/30600    18.5s   64.9/s
  [pointwise] 1250/30600    19.3s   64.9/s
  [pointwise] 1300/30600    20.1s   64.7/s
  [pointwise] 1350/30600    20.9s   64.5/s
  [pointwise] 1400/30600    21.8s   64.4/s
  [pointwise] 1450/30600    22.5s   64.5/s
  [pointwise] 1500/30600    23.2s   64.6/s
  [pointwise] 1550/30600    23.9s   64.7/s
  [pointwise] 1600/30600    24.7s   64.7/s
  [pointwise] 1650/30600    25.6s   64.5/s
  [pointwise] 1700/30600    26.3s   64.6/s
  [pointwise] 1750/30600    27.0s   64.7/s
  [pointwise] 1800/30600    27.8s   64.7/s
  [pointwise] 1850/30600    28.6s   64.6/s
  [pointwise] 1900/30600    29.3s   64.8/s
  [pointwise] 1950/30600    30.1s   64.8/s
  [pointwise] 2000/30600    30.8s   65.0/s
  [pointwise] 2050/30600    31.5s   65.2/s
  [pointwise] 2100/30600    32.1s   65.4/s
  [pointwise] 2150/30600    32.8s   65.5/s
  [pointwise] 2200/30600    33.6s   65.4/s
  [pointwise] 2250/30600    34.4s   65.3/s
  [pointwise] 2300/30600    35.1s   65.6/s
  [pointwise] 2350/30600    35.8s   65.6/s
  [pointwise] 2400/30600    36.6s   65.6/s
  [pointwise] 2450/30600    37.4s   65.6/s
  [pointwise] 2500/30600    38.0s   65.8/s
  [pointwise] 2550/30600    38.2s   66.7/s
  [pointwise] 2600/30600    39.4s   66.0/s
  [pointwise] 2650/30600    40.8s   65.0/s
  [pointwise] 2700/30600    42.2s   64.0/s
  [pointwise] 2750/30600    43.7s   62.9/s
  [pointwise] 2800/30600    45.0s   62.2/s
  [pointwise] 2850/30600    46.4s   61.5/s
  [pointwise] 2900/30600    47.8s   60.6/s
  [pointwise] 2950/30600    49.2s   60.0/s
  [pointwise] 3000/30600    50.5s   59.4/s
  [pointwise] 3050/30600    51.8s   58.9/s
  [pointwise] 3100/30600    53.4s   58.1/s
  [pointwise] 3150/30600    55.0s   57.3/s
  [pointwise] 3200/30600    56.4s   56.7/s
  [pointwise] 3250/30600    57.7s   56.3/s
  [pointwise] 3300/30600    59.3s   55.7/s
  [pointwise] 3350/30600    60.6s   55.3/s
  [pointwise] 3400/30600    61.9s   54.9/s
  [pointwise] 3450/30600    63.2s   54.6/s
  [pointwise] 3500/30600    64.7s   54.1/s
  [pointwise] 3550/30600    66.0s   53.8/s
  [pointwise] 3600/30600    67.5s   53.3/s
  [pointwise] 3650/30600    69.0s   52.9/s
  [pointwise] 3700/30600    70.3s   52.7/s
  [pointwise] 3750/30600    71.7s   52.3/s
  [pointwise] 3800/30600    73.1s   52.0/s
  [pointwise] 3850/30600    74.0s   52.0/s
  [pointwise] 3900/30600    74.9s   52.1/s
  [pointwise] 3950/30600    75.8s   52.1/s
  [pointwise] 4000/30600    76.9s   52.0/s
  [pointwise] 4050/30600    77.8s   52.1/s
  [pointwise] 4100/30600    78.6s   52.2/s
  [pointwise] 4150/30600    79.6s   52.2/s
  [pointwise] 4200/30600    80.5s   52.2/s
  [pointwise] 4250/30600    81.4s   52.2/s
  [pointwise] 4300/30600    82.4s   52.2/s
  [pointwise] 4350/30600    83.5s   52.1/s
  [pointwise] 4400/30600    84.4s   52.1/s
  [pointwise] 4450/30600    85.5s   52.1/s
  [pointwise] 4500/30600    86.5s   52.0/s
  [pointwise] 4550/30600    87.4s   52.1/s
  [pointwise] 4600/30600    88.2s   52.1/s
  [pointwise] 4650/30600    89.2s   52.2/s
  [pointwise] 4700/30600    90.0s   52.2/s
  [pointwise] 4750/30600    91.0s   52.2/s
  [pointwise] 4800/30600    92.0s   52.2/s
  [pointwise] 4850/30600    93.1s   52.1/s
  [pointwise] 4900/30600    94.0s   52.1/s
  [pointwise] 4950/30600    94.8s   52.2/s
  [pointwise] 5000/30600    95.7s   52.3/s
  [pointwise] 5050/30600    96.6s   52.3/s
  [pointwise] 5100/30600    97.5s   52.3/s
  [pointwise] 5150/30600    98.3s   52.4/s
  [pointwise] 5200/30600    99.2s   52.4/s
  [pointwise] 5250/30600   100.1s   52.5/s
  [pointwise] 5300/30600   101.0s   52.5/s
  [pointwise] 5350/30600   101.8s   52.5/s
  [pointwise] 5400/30600   102.8s   52.5/s
  [pointwise] 5450/30600   103.6s   52.6/s
  [pointwise] 5500/30600   104.5s   52.6/s
  [pointwise] 5550/30600   105.4s   52.6/s
  [pointwise] 5600/30600   106.3s   52.7/s
  [pointwise] 5650/30600   107.2s   52.7/s
  [pointwise] 5700/30600   108.1s   52.7/s
  [pointwise] 5750/30600   109.0s   52.8/s
  [pointwise] 5800/30600   109.9s   52.8/s
  [pointwise] 5850/30600   110.8s   52.8/s
  [pointwise] 5900/30600   111.8s   52.8/s
  [pointwise] 5950/30600   112.7s   52.8/s
  [pointwise] 6000/30600   113.6s   52.8/s
  [pointwise] 6050/30600   114.6s   52.8/s
  [pointwise] 6100/30600   115.5s   52.8/s
  [pointwise] 6150/30600   116.4s   52.8/s
  [pointwise] 6200/30600   117.4s   52.8/s
  [pointwise] 6250/30600   118.2s   52.9/s
  [pointwise] 6300/30600   119.0s   52.9/s
  [pointwise] 6350/30600   120.0s   52.9/s
  [pointwise] 6400/30600   121.5s   52.7/s
  [pointwise] 6450/30600   123.7s   52.2/s
  [pointwise] 6500/30600   125.9s   51.6/s
  [pointwise] 6550/30600   127.7s   51.3/s
  [pointwise] 6600/30600   129.9s   50.8/s
  [pointwise] 6650/30600   132.2s   50.3/s
