mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
binary,0,512,0.8571,0.8571,8.098,0.8019,2.23,1286.7,398,7.4,0.000015
binary,500,256512,0.6931,0.6928,7.000,0.6931,2.00,798.4,641,407.0,0.000169
binary,999,512000,0.6923,0.6924,6.997,0.6928,2.00,718.7,712,803.8,0.000030

binary,1500,768512,0.6928,0.6927,6.994,0.6925,2.00,800.2,640,1172.4,0.000166
binary,2000,1024512,0.6782,0.6786,6.780,0.6714,1.96,773.0,662,1583.7,0.000098
binary,2500,1280512,0.6449,0.6510,6.547,0.6483,1.91,571.0,897,1945.3,0.000048
