phase,mode,vocab,tok_per_char,seq_len,d_in,d_out,n_params,bpc,loss,ppl,time_sec,random_bpc
din_sweep,binary,2,7.0,896,1,128,788994,6.996,0.6928,2.00,786.9,7.00
din_sweep,binary,2,7.0,896,2,128,790148,6.997,0.6928,2.00,803.8,7.00
din_sweep,binary,2,7.0,896,4,128,792456,6.928,0.6860,1.99,770.0,7.00
din_sweep,bigram,16384,0.5,64,1,128,2902272,3.921,5.4361,229.55,190.7,7.00
din_sweep,bigram,16384,0.5,64,2,128,2919808,3.695,5.1221,167.69,188.8,7.00
din_sweep,bigram,16384,0.5,64,4,128,2954880,3.451,4.7838,119.56,186.1,7.00
din_sweep,bigram,16384,0.5,64,8,128,3025024,3.424,4.7466,115.19,187.7,7.00
din_sweep,bigram,16384,0.5,64,16,128,3165312,3.395,4.7070,110.72,185.3,7.00
