mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
bigram,0,512,9.9188,9.9188,7.097,9.8392,18753.99,197.1,2598,0.8,0.000015
bigram,500,256512,4.8053,4.9702,3.521,4.8810,131.76,159.2,3217,80.8,0.000283
bigram,1000,512512,4.4033,4.2534,3.085,4.2770,72.02,151.8,3372,160.7,0.000234
bigram,1500,768512,3.9312,3.9756,2.929,4.0605,58.00,163.9,3124,240.0,0.000166
bigram,2000,1024512,3.8860,3.8192,2.832,3.9258,50.69,158.0,3241,318.7,0.000098
bigram,2500,1280512,4.0082,3.7579,2.797,3.8778,48.32,156.7,3267,397.8,0.000048
bigram,2999,1536000,3.6202,3.7249,2.771,3.8409,46.57,165.4,3096,477.2,0.000030
