mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
char,0,512,5.0796,5.0796,7.221,5.0050,149.16,103.4,4952,0.3,0.000015
char,500,256512,2.4601,2.5178,3.624,2.5123,12.33,41.9,12216,25.3,0.000283
char,1000,512512,2.3865,2.3872,3.421,2.3714,10.71,61.6,8310,50.0,0.000234
char,1500,768512,2.1781,2.1913,3.151,2.1838,8.88,44.3,11564,75.4,0.000166
char,2000,1024512,2.0782,2.0481,2.973,2.0607,7.85,51.5,9942,101.1,0.000098
char,2500,1280512,1.8447,1.9476,2.876,1.9935,7.34,56.5,9067,126.9,0.000048
char,2999,1536000,1.8459,1.9072,2.827,1.9593,7.09,51.1,10013,152.5,0.000030
