mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
nibble,0,512,2.7989,2.7989,7.788,2.6990,14.87,187.5,2730,0.6,0.000015
nibble,500,256512,1.5506,1.5197,4.318,1.4964,4.47,87.6,5845,40.2,0.000283
nibble,1000,512512,1.2976,1.3257,3.780,1.3100,3.71,79.6,6432,80.2,0.000234
nibble,1500,768512,1.1283,1.1856,3.402,1.1791,3.25,81.0,6321,119.8,0.000166
nibble,2000,1024512,1.1358,1.1245,3.227,1.1183,3.06,73.1,7001,159.6,0.000098
nibble,2500,1280512,1.0926,1.0781,3.098,1.0738,2.93,73.6,6953,199.3,0.000048
nibble,2999,1536000,1.0388,1.0415,3.040,1.0535,2.87,79.3,6454,238.2,0.000030
