mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
binary,0,512,0.7477,0.7477,7.194,0.7124,2.04,706.9,724,3.5,0.000015
binary,500,256512,0.6584,0.6655,6.604,0.6539,1.92,386.1,1326,198.8,0.000283
binary,1000,512512,0.5813,0.5891,5.968,0.5910,1.81,380.3,1346,394.9,0.000234
binary,1500,768512,0.5785,0.5745,5.752,0.5696,1.77,371.4,1379,589.0,0.000166
binary,2000,1024512,0.5083,0.5168,5.177,0.5127,1.67,388.1,1319,795.0,0.000098
binary,2500,1280512,0.4799,0.4868,4.897,0.4849,1.62,429.6,1192,987.5,0.000048
binary,2999,1536000,0.4779,0.4821,4.836,0.4789,1.61,380.8,1344,1177.4,0.000030
