mode,step,chars_seen,loss,smooth_loss,bpc,val_loss,val_ppl,ms_per_step,chars_per_sec,elapsed_sec,lr
base4,0,512,1.4107,1.4107,7.944,1.3767,3.96,403.4,1269,1.5,0.000015
base4,500,256512,0.9622,0.9838,5.680,0.9843,2.68,188.8,2713,88.6,0.000283
base4,1000,512512,0.7979,0.8101,4.662,0.8078,2.24,167.6,3055,176.7,0.000234
base4,1500,768512,0.7145,0.7269,4.161,0.7211,2.06,163.5,3132,265.9,0.000166
base4,2000,1024512,0.6745,0.6809,3.905,0.6767,1.97,170.2,3008,359.5,0.000098
base4,2500,1280512,0.6554,0.6606,3.768,0.6529,1.92,166.0,3085,450.3,0.000048
base4,2999,1536000,0.6359,0.6476,3.707,0.6424,1.90,179.6,2850,542.3,0.000030
