mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,1024,5.1410,5.1410,93.7816,6.551,4664.3,220,16.2
QAT_fwd,50,52224,3.2524,3.5331,26.7468,4.741,4391.8,233,233.5
QAT_fwd,100,103424,2.9034,3.1746,20.6850,4.371,4141.6,247,449.3
QAT_fwd,150,154624,2.6217,2.7815,14.4083,3.849,4110.1,249,665.1
QAT_fwd,200,205824,2.6404,2.6352,13.2843,3.732,4057.7,252,878.1
QAT_fwd,250,257024,2.5352,2.5717,13.0622,3.707,4007.7,256,1090.6
QAT_fwd,299,307200,2.5374,2.5523,12.5672,3.652,4238.5,242,1301.1
