mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd_bwd,0,1024,5.1410,5.1410,89.8716,6.490,5198.2,197,14.9
QAT_fwd_bwd,50,52224,3.2626,3.5373,26.9113,4.750,4126.1,248,229.1
QAT_fwd_bwd,100,103424,2.8990,3.1753,20.5144,4.359,4205.7,243,444.0
QAT_fwd_bwd,150,154624,2.6192,2.7941,14.5330,3.861,4134.7,248,658.9
QAT_fwd_bwd,200,205824,2.6604,2.6426,13.5220,3.757,3982.2,257,873.2
QAT_fwd_bwd,250,257024,2.5506,2.5735,13.2705,3.730,4388.5,233,1091.4
QAT_fwd_bwd,299,307200,2.5504,2.5595,12.7049,3.667,4102.1,250,1305.3
