mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,2048,5.1561,5.1561,88.6159,6.469,11870.0,173,23.9
QAT_fwd,50,104448,3.2544,3.5248,26.5883,4.733,10303.9,199,541.1
QAT_fwd,100,206848,2.9082,3.0905,17.0774,4.094,9441.3,217,1066.0
QAT_fwd,150,309248,2.5602,2.6665,13.0902,3.710,9217.2,222,1572.4
QAT_fwd,200,411648,2.5353,2.5642,12.6762,3.664,10029.2,204,2081.4
QAT_fwd,250,514048,2.5437,2.5229,12.3486,3.626,9810.6,209,2580.9
QAT_fwd,299,614400,2.5240,2.5115,12.1619,3.604,9289.0,220,3071.7
