mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
FP32,0,2048,5.1549,5.1549,88.5193,6.468,19666.4,104,39.0
FP32,50,104448,3.2545,3.5247,26.5872,4.733,10437.9,196,605.2
FP32,100,206848,2.8785,3.0766,16.5406,4.048,10957.5,187,1141.0
FP32,150,309248,2.5553,2.6591,13.0865,3.710,10053.7,204,1683.1
FP32,200,411648,2.5334,2.5618,12.5519,3.650,10957.3,187,2249.5
FP32,250,514048,2.5401,2.5202,12.2836,3.619,10614.3,193,2809.3
FP32,299,614400,2.5264,2.5067,12.1301,3.601,10932.3,187,3353.2
