mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
FP32,0,1024,5.1397,5.1397,93.0798,6.540,6709.8,153,16.0
FP32,50,52224,3.2528,3.5332,26.7630,4.742,5407.3,189,297.3
FP32,100,103424,2.7934,3.1136,18.4179,4.203,5383.8,190,579.9
FP32,150,154624,2.5506,2.6945,13.7745,3.784,5281.6,194,863.6
FP32,200,205824,2.6356,2.6086,13.0196,3.703,5381.3,190,1147.1
FP32,250,257024,2.5209,2.5521,12.9446,3.694,5888.8,174,1430.4
FP32,299,307200,2.5420,2.5447,12.5247,3.647,5551.9,184,1720.6
