mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,1024,5.1390,5.1390,93.9261,6.553,5988.4,171,17.5
QAT_fwd,50,52224,3.2524,3.5333,26.7439,4.741,5092.5,201,290.8
QAT_fwd,100,103424,2.8113,3.1183,18.6643,4.222,5526.7,185,566.5
QAT_fwd,150,154624,2.5974,2.7379,14.5656,3.864,5081.7,202,840.2
QAT_fwd,200,205824,2.6589,2.6319,13.1855,3.721,5393.5,190,1116.4
QAT_fwd,250,257024,2.5441,2.5729,13.1144,3.713,5154.2,199,1390.8
QAT_fwd,299,307200,2.5490,2.5594,12.5950,3.655,5266.5,194,1657.1
