mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec,lr
QAT_fwd,0,1024,5.1410,5.1410,68.8230,6.105,5415.1,189,15.9,0.000015
QAT_fwd,50,52224,2.8190,3.2568,16.3083,4.028,5774.4,177,288.1,0.000292
QAT_fwd,100,103424,2.5214,2.6720,13.1268,3.714,5697.9,180,551.9,0.000249
QAT_fwd,150,154624,2.4584,2.5489,12.4298,3.636,4850.8,211,827.5,0.000180
QAT_fwd,200,205824,2.5677,2.5193,12.0325,3.589,5177.8,198,1087.2,0.000106
QAT_fwd,250,257024,2.4602,2.4788,11.7191,3.551,4956.4,207,1363.0,0.000051
QAT_fwd,299,307200,2.4389,2.4617,11.5573,3.531,5118.5,200,1614.9,0.000030
