mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,1024,5.1410,5.1410,93.2719,6.543,5377.2,190,16.0
QAT_fwd,50,52224,3.2528,3.5333,26.7583,4.742,5112.1,200,268.8
QAT_fwd,100,103424,2.7662,3.0977,17.7856,4.153,4974.7,206,521.7
QAT_fwd,150,154624,2.5452,2.6924,13.7800,3.785,4829.6,212,771.0
QAT_fwd,200,205824,2.6339,2.6041,12.9647,3.697,4546.1,225,1020.0
QAT_fwd,250,257024,2.5267,2.5532,12.9203,3.692,4926.9,208,1270.7
QAT_fwd,299,307200,2.5327,2.5408,12.3910,3.631,5089.1,201,1520.0
