mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,1024,5.1410,5.1410,93.2719,6.543,5451.0,188,16.2
QAT_fwd,50,52224,3.2528,3.5333,26.7583,4.742,5235.3,196,278.4
QAT_fwd,100,103424,2.7662,3.0977,17.7856,4.153,5056.0,203,539.1
QAT_fwd,150,154624,2.5452,2.6924,13.7800,3.785,4908.8,209,795.6
QAT_fwd,200,205824,2.6339,2.6041,12.9647,3.697,4802.4,213,1048.4
QAT_fwd,250,257024,2.5267,2.5532,12.9203,3.692,4922.7,208,1304.4
QAT_fwd,299,307200,2.5327,2.5408,12.3910,3.631,5014.8,204,1556.2
