mode,step,tokens_seen,loss,smooth_loss,val_ppl,bpb,ms_per_step,tok_per_sec,elapsed_sec
QAT_fwd,0,1024,5.1410,5.1410,93.2719,6.543,4591.2,223,13.3
QAT_fwd,50,52224,3.2528,3.5333,26.7583,4.742,4260.8,240,216.1
QAT_fwd,100,103424,2.7662,3.0977,17.7856,4.153,4015.0,255,422.9
QAT_fwd,150,154624,2.5452,2.6924,13.7800,3.785,4037.5,254,634.3
QAT_fwd,200,205824,2.6339,2.6041,12.9647,3.697,4057.1,252,847.8
QAT_fwd,250,257024,2.5267,2.5532,12.9203,3.692,3849.1,266,1062.0
QAT_fwd,300,308224,2.4730,2.5374,12.3927,3.631,3761.2,272,1279.7
