term,z,claude_ct,other_ct,total_ct,contrast,n
show,2.071105672850038,13,12,25,claude_vs_pooled,1
feel,2.070774289967368,31,40,71,claude_vs_pooled,1
instead,2.0548688049504262,26,32,58,claude_vs_pooled,1
requires,2.052168591407646,15,15,30,claude_vs_pooled,1
text,2.052168591407646,15,15,30,claude_vs_pooled,1
feeling,2.052168591407646,15,15,30,claude_vs_pooled,1
directly,2.0518011824364764,19,21,40,claude_vs_pooled,1
relevant,2.048622018887729,10,8,18,claude_vs_pooled,1
examples,2.047321210785325,17,18,35,claude_vs_pooled,1
ideally,2.0376845884710533,6,3,9,claude_vs_pooled,1
sudden,2.0376845884710533,6,3,9,claude_vs_pooled,1
backward,2.0376845884710533,6,3,9,claude_vs_pooled,1
moves,2.0376845884710533,6,3,9,claude_vs_pooled,1
lumpy,2.0376845884710533,6,3,9,claude_vs_pooled,1
notes,2.0376845884710533,6,3,9,claude_vs_pooled,1
spots,2.0376845884710533,6,3,9,claude_vs_pooled,1
request,2.0376845884710533,6,3,9,claude_vs_pooled,1
bubbly,2.0376845884710533,6,3,9,claude_vs_pooled,1
k,2.0028585031984867,12,11,23,claude_vs_pooled,1
purpose,2.0028585031984867,12,11,23,claude_vs_pooled,1
protection,2.0028585031984867,12,11,23,claude_vs_pooled,1
exact,2.0028585031984867,12,11,23,claude_vs_pooled,1
happen,2.0028585031984867,12,11,23,claude_vs_pooled,1
typing,1.9888938660019444,5,2,7,claude_vs_pooled,1
status,1.9888938660019444,5,2,7,claude_vs_pooled,1
visible,1.9888938660019444,5,2,7,claude_vs_pooled,1
telling,1.9888938660019444,5,2,7,claude_vs_pooled,1
cancers,1.9888938660019444,5,2,7,claude_vs_pooled,1
drainage,1.9888938660019444,5,2,7,claude_vs_pooled,1
straight,1.9888938660019444,5,2,7,claude_vs_pooled,1
messy,1.9888938660019444,5,2,7,claude_vs_pooled,1
metal,1.9888938660019444,5,2,7,claude_vs_pooled,1
sitting,1.9888938660019444,5,2,7,claude_vs_pooled,1
capacity,1.9888938660019444,5,2,7,claude_vs_pooled,1
calculating,1.9888938660019444,5,2,7,claude_vs_pooled,1
throat,1.9888938660019444,5,2,7,claude_vs_pooled,1
quiet,1.9888938660019444,5,2,7,claude_vs_pooled,1
spot,1.9888938660019444,5,2,7,claude_vs_pooled,1
detection,1.9888938660019444,5,2,7,claude_vs_pooled,1
teams,1.9888938660019444,5,2,7,claude_vs_pooled,1
tilts,1.9888938660019444,5,2,7,claude_vs_pooled,1
won't,1.9839727793148687,9,7,16,claude_vs_pooled,1
minutes,1.9839727793148687,9,7,16,claude_vs_pooled,1
stays,1.9839727793148687,9,7,16,claude_vs_pooled,1
redness,1.9839727793148687,9,7,16,claude_vs_pooled,1
confirm,1.9839727793148687,9,7,16,claude_vs_pooled,1
jobs,1.9825527897615596,14,14,28,claude_vs_pooled,1
own,1.949299278408898,32,43,75,claude_vs_pooled,1
note,1.9472877302053855,29,38,67,claude_vs_pooled,1
that's,1.9447782751741314,21,25,46,claude_vs_pooled,1
fall,1.9323415754042281,11,10,21,claude_vs_pooled,1
influential,1.9323415754042281,11,10,21,claude_vs_pooled,1
age,1.9263074167687086,19,22,41,claude_vs_pooled,1
first,1.9211843022506083,44,64,108,claude_vs_pooled,1
almost,1.9184625356339735,8,6,14,claude_vs_pooled,1
fuel,1.9184625356339735,8,6,14,claude_vs_pooled,1
ago,1.9184625356339735,8,6,14,claude_vs_pooled,1
placebos,1.9184625356339735,8,6,14,claude_vs_pooled,1
feie,1.9184625356339735,8,6,14,claude_vs_pooled,1
unlike,1.9184625356339735,8,6,14,claude_vs_pooled,1
top,1.9184625356339735,8,6,14,claude_vs_pooled,1
mention,1.9184625356339735,8,6,14,claude_vs_pooled,1
expect,1.9184625356339735,8,6,14,claude_vs_pooled,1
quite,1.9184625356339735,8,6,14,claude_vs_pooled,1
saying,1.9184625356339735,8,6,14,claude_vs_pooled,1
moved,1.9184625356339735,8,6,14,claude_vs_pooled,1
checks,1.9184625356339735,8,6,14,claude_vs_pooled,1
typical,1.9184625356339735,8,6,14,claude_vs_pooled,1
road,1.9184625356339735,8,6,14,claude_vs_pooled,1
stops,1.9184625356339735,8,6,14,claude_vs_pooled,1
someone,1.9126182251120758,17,19,36,claude_vs_pooled,1
over,1.9118949103789662,69,109,178,claude_vs_pooled,1
actual,1.9104063545983807,13,13,26,claude_vs_pooled,1
cars,1.9104063545983807,13,13,26,claude_vs_pooled,1
stuck,1.91016816969767,4,1,5,claude_vs_pooled,1
realistic,1.91016816969767,4,1,5,claude_vs_pooled,1
captures,1.91016816969767,4,1,5,claude_vs_pooled,1
acting,1.91016816969767,4,1,5,claude_vs_pooled,1
negotiate,1.91016816969767,4,1,5,claude_vs_pooled,1
stanford,1.91016816969767,4,1,5,claude_vs_pooled,1
separately,1.91016816969767,4,1,5,claude_vs_pooled,1
beginner,1.91016816969767,4,1,5,claude_vs_pooled,1
swollen,1.91016816969767,4,1,5,claude_vs_pooled,1
tarry,1.91016816969767,4,1,5,claude_vs_pooled,1
referral,1.91016816969767,4,1,5,claude_vs_pooled,1
exceed,1.91016816969767,4,1,5,claude_vs_pooled,1
adrenal,1.91016816969767,4,1,5,claude_vs_pooled,1
parkinson's,1.91016816969767,4,1,5,claude_vs_pooled,1
benign,1.91016816969767,4,1,5,claude_vs_pooled,1
replace,1.91016816969767,4,1,5,claude_vs_pooled,1
panel,1.91016816969767,4,1,5,claude_vs_pooled,1
seconds,1.91016816969767,4,1,5,claude_vs_pooled,1
bunch,1.91016816969767,4,1,5,claude_vs_pooled,1
spent,1.91016816969767,4,1,5,claude_vs_pooled,1
babies,1.91016816969767,4,1,5,claude_vs_pooled,1
combines,1.91016816969767,4,1,5,claude_vs_pooled,1
carriers,1.91016816969767,4,1,5,claude_vs_pooled,1
slides,1.91016816969767,4,1,5,claude_vs_pooled,1
cleared,1.91016816969767,4,1,5,claude_vs_pooled,1
differs,1.91016816969767,4,1,5,claude_vs_pooled,1
curve,1.91016816969767,4,1,5,claude_vs_pooled,1
dramatically,1.91016816969767,4,1,5,claude_vs_pooled,1
compounded,1.91016816969767,4,1,5,claude_vs_pooled,1
ftc,1.91016816969767,4,1,5,claude_vs_pooled,1
leaders,1.91016816969767,4,1,5,claude_vs_pooled,1
dead,1.91016816969767,4,1,5,claude_vs_pooled,1
relates,1.91016816969767,4,1,5,claude_vs_pooled,1
insight,1.91016816969767,4,1,5,claude_vs_pooled,1
restricted,1.91016816969767,4,1,5,claude_vs_pooled,1
emotional,1.91016816969767,4,1,5,claude_vs_pooled,1
she's,1.91016816969767,4,1,5,claude_vs_pooled,1
waves,1.91016816969767,4,1,5,claude_vs_pooled,1
mean,1.9060427673885112,15,16,31,claude_vs_pooled,1
her,1.8961000008893345,34,47,81,claude_vs_pooled,1
your,1.8823966933814598,509,975,1484,claude_vs_pooled,1
official,1.85933926548424,10,9,19,claude_vs_pooled,1
animals,1.85933926548424,10,9,19,claude_vs_pooled,1
matters,1.8534779092865106,24,0,24,claude_vs_pooled,1
challenge,1.852555646859562,7,5,12,claude_vs_pooled,1
unusual,1.852555646859562,7,5,12,claude_vs_pooled,1
holds,1.852555646859562,7,5,12,claude_vs_pooled,1
symbols,1.852555646859562,7,5,12,claude_vs_pooled,1
timing,1.852555646859562,7,5,12,claude_vs_pooled,1
recommendation,1.852555646859562,7,5,12,claude_vs_pooled,1
leave,1.852555646859562,7,5,12,claude_vs_pooled,1
