term,z,claude_ct,other_ct,total_ct,contrast,n
me,11.851443559427826,152,24,176,claude_vs_pooled,1
what,11.058216524048095,200,117,317,claude_vs_pooled,1
you're,9.654186174072459,135,68,203,claude_vs_pooled,1
why,8.872137409004427,102,43,145,claude_vs_pooled,1
like,8.541379266656739,331,368,699,claude_vs_pooled,1
explain,8.42285041103453,79,10,89,claude_vs_pooled,1
would,8.34451425262827,153,116,269,claude_vs_pooled,1
actually,7.898438079561456,70,20,90,claude_vs_pooled,1
how,7.846412955455208,174,155,329,claude_vs_pooled,1
let,7.443376328171521,63,19,82,claude_vs_pooled,1
key,7.091810581746561,74,38,112,claude_vs_pooled,1
don't,7.0498454527284125,76,41,117,claude_vs_pooled,1
no,6.895327129435535,88,58,146,claude_vs_pooled,1
common,6.82871785164647,102,77,179,claude_vs_pooled,1
detail,6.628730785092005,48,7,55,claude_vs_pooled,1
please,6.576930223254251,47,11,58,claude_vs_pooled,1
real,6.470931685411322,71,43,114,claude_vs_pooled,1
here's,6.3853638972607705,51,20,71,claude_vs_pooled,1
line,6.218190640787908,46,16,62,claude_vs_pooled,1
you,6.156913842025214,707,1119,1826,claude_vs_pooled,1
specific,6.055882728985608,128,127,255,claude_vs_pooled,1
doctor,6.023069497409944,87,70,157,claude_vs_pooled,1
works,5.869459300474974,44,18,62,claude_vs_pooled,1
g,5.785133359766246,44,19,63,claude_vs_pooled,1
question,5.749795771010471,42,17,59,claude_vs_pooled,1
great,5.742491078963322,38,12,50,claude_vs_pooled,1
e,5.715604716774441,45,21,66,claude_vs_pooled,1
aspect,5.6970666351232016,35,6,41,claude_vs_pooled,1
most,5.437037444723292,105,105,210,claude_vs_pooled,1
can't,5.37441816830955,36,14,50,claude_vs_pooled,1
just,5.16033201411974,88,85,173,claude_vs_pooled,1
simple,5.152655406696381,44,26,70,claude_vs_pooled,1
what's,4.790448757262986,26,3,29,claude_vs_pooled,1
vs,4.635801428054868,24,3,27,claude_vs_pooled,1
about,4.631298478196694,131,161,292,claude_vs_pooled,1
together,4.623860501813388,28,12,40,claude_vs_pooled,1
famous,4.614238983109161,23,5,28,claude_vs_pooled,1
bottom,4.614213134776852,27,2,29,claude_vs_pooled,1
quick,4.505104863272172,22,5,27,claude_vs_pooled,1
when,4.472813952571708,174,236,410,claude_vs_pooled,1
they're,4.447345302791473,30,16,46,claude_vs_pooled,1
core,4.391130896090727,21,5,26,claude_vs_pooled,1
big,4.28708715004425,43,34,77,claude_vs_pooled,1
right,4.281114859268425,63,62,125,claude_vs_pooled,1
especially,4.265437543102992,58,55,113,claude_vs_pooled,1
makes,4.203068099590744,37,27,64,claude_vs_pooled,1
feels,4.195021464376681,20,6,26,claude_vs_pooled,1
know,4.16810883177957,45,38,83,claude_vs_pooled,1
deeper,4.146000311008623,29,1,30,claude_vs_pooled,1
gets,4.030087139877187,27,16,43,claude_vs_pooled,1
answer,4.028524230246339,22,10,32,claude_vs_pooled,1
brain,4.001991328758607,37,29,66,claude_vs_pooled,1
you'd,3.9722911232132465,17,3,20,claude_vs_pooled,1
things,3.9474545507446366,51,49,100,claude_vs_pooled,1
down,3.937797116917037,46,42,88,claude_vs_pooled,1
up,3.8948833858278156,94,116,210,claude_vs_pooled,1
questions,3.884549132070558,30,21,51,claude_vs_pooled,1
thinking,3.8777613892418348,21,10,31,claude_vs_pooled,1
part,3.8597455704428683,53,53,106,claude_vs_pooled,1
doesn't,3.822741791978061,28,19,47,claude_vs_pooled,1
today,3.761560007387396,26,17,43,claude_vs_pooled,1
next,3.7391509885363376,29,21,50,claude_vs_pooled,1
normal,3.7203145467749397,40,36,76,claude_vs_pooled,1
particular,3.6595174885068307,33,27,60,claude_vs_pooled,1
old,3.6424897784995314,22,13,35,claude_vs_pooled,1
weeks,3.6412067895758593,17,7,24,claude_vs_pooled,1
go,3.6295048186871712,49,50,99,claude_vs_pooled,1
see,3.6260494378631676,53,56,109,claude_vs_pooled,1
eat,3.611444737098611,16,6,22,claude_vs_pooled,1
i'd,3.589224533773012,18,1,19,claude_vs_pooled,1
testing,3.5862684857549088,31,25,56,claude_vs_pooled,1
want,3.522390560896956,58,65,123,claude_vs_pooled,1
modern,3.510699305864893,22,14,36,claude_vs_pooled,1
tips,3.4603801641250684,13,3,16,claude_vs_pooled,1
built,3.4452310924559355,15,6,21,claude_vs_pooled,1
too,3.4390647808904427,30,25,55,claude_vs_pooled,1
chest,3.417050603831513,19,11,30,claude_vs_pooled,1
break,3.4138413184251473,23,16,39,claude_vs_pooled,1
rather,3.389218139928393,34,31,65,claude_vs_pooled,1
aren't,3.3816165435722314,15,1,16,claude_vs_pooled,1
same,3.3789996190252243,58,67,125,claude_vs_pooled,1
toward,3.3704545622719615,13,4,17,claude_vs_pooled,1
severe,3.3615880051409266,25,19,44,claude_vs_pooled,1
notable,3.3327183119312407,12,2,14,claude_vs_pooled,1
specifically,3.3279091845806197,16,8,24,claude_vs_pooled,1
happening,3.3087469719338296,12,3,15,claude_vs_pooled,1
fine,3.3087469719338296,12,3,15,claude_vs_pooled,1
limitations,3.2987924440994383,15,7,22,claude_vs_pooled,1
cubic,3.2987924440994383,15,7,22,claude_vs_pooled,1
news,3.27534625047465,19,12,31,claude_vs_pooled,1
c,3.269064439831036,14,6,20,claude_vs_pooled,1
switch,3.269064439831036,14,6,20,claude_vs_pooled,1
practical,3.2416600355094216,18,11,29,claude_vs_pooled,1
small,3.2168136470678244,41,43,84,claude_vs_pooled,1
free,3.204715755377392,27,23,50,claude_vs_pooled,1
main,3.1991010078444004,24,19,43,claude_vs_pooled,1
tb,3.176030857239036,16,9,25,claude_vs_pooled,1
emergency,3.1581072952971314,23,18,41,claude_vs_pooled,1
walk,3.1446783036726482,11,3,14,claude_vs_pooled,1
came,3.1441896675936434,15,8,23,claude_vs_pooled,1
signal,3.1441896675936434,15,8,23,claude_vs_pooled,1
notice,3.1441896675936434,15,8,23,claude_vs_pooled,1
gentle,3.1441896675936434,15,8,23,claude_vs_pooled,1
now,3.1373303452236345,45,50,95,claude_vs_pooled,1
something,3.1284819536273063,39,41,80,claude_vs_pooled,1
anything,3.095837722301803,18,12,30,claude_vs_pooled,1
skin,3.0859552055917883,51,60,111,claude_vs_pooled,1
foot,3.068985482567595,29,27,56,claude_vs_pooled,1
possibly,3.0585915090349953,17,11,28,claude_vs_pooled,1
two,3.05478687436608,52,62,114,claude_vs_pooled,1
slowly,3.0496375412924324,12,5,17,claude_vs_pooled,1
version,3.0496375412924324,12,5,17,claude_vs_pooled,1
path,3.0496375412924324,12,5,17,claude_vs_pooled,1
correct,3.047725269815488,10,2,12,claude_vs_pooled,1
urgent,3.047725269815488,10,2,12,claude_vs_pooled,1
sense,3.0452237014269414,26,23,49,claude_vs_pooled,1
give,3.0446989528967943,33,33,66,claude_vs_pooled,1
got,3.0321061404607725,11,1,12,claude_vs_pooled,1
clarify,3.0136340975488713,11,4,15,claude_vs_pooled,1
trick,3.0136340975488713,11,4,15,claude_vs_pooled,1
checked,3.0136340975488713,11,4,15,claude_vs_pooled,1
one,2.9949314333940307,110,161,271,claude_vs_pooled,1
after,2.9920177379429544,65,84,149,claude_vs_pooled,1
isn't,2.9875208204513037,22,18,40,claude_vs_pooled,1
yes,2.9875208204513037,22,18,40,claude_vs_pooled,1
liability,2.9856956604526683,15,9,24,claude_vs_pooled,1
doctors,2.9856956604526683,15,9,24,claude_vs_pooled,1
even,2.9774514585317644,60,76,136,claude_vs_pooled,1
truth,2.9660436688637932,10,3,13,claude_vs_pooled,1
describing,2.9660436688637932,10,3,13,claude_vs_pooled,1
connection,2.9660436688637932,10,3,13,claude_vs_pooled,1
knows,2.9660436688637932,10,3,13,claude_vs_pooled,1
combined,2.9660436688637932,10,3,13,claude_vs_pooled,1
getting,2.953648035580871,24,21,45,claude_vs_pooled,1
build,2.9503107772610657,14,8,22,claude_vs_pooled,1
building,2.9503107772610657,14,8,22,claude_vs_pooled,1
tell,2.9503107772610657,14,8,22,claude_vs_pooled,1
worth,2.9498732470239806,39,43,82,claude_vs_pooled,1
think,2.945559732808675,33,34,67,claude_vs_pooled,1
fast,2.942764618692963,21,17,38,claude_vs_pooled,1
call,2.9295501302144955,26,24,50,claude_vs_pooled,1
prompt,2.9253333185746992,10,1,11,claude_vs_pooled,1
roughly,2.9253333185746992,10,1,11,claude_vs_pooled,1
honest,2.9253333185746992,10,1,11,claude_vs_pooled,1
clock,2.915751674950412,13,7,20,claude_vs_pooled,1
very,2.9069742793951896,47,56,103,claude_vs_pooled,1
though,2.9069296838437406,23,20,43,claude_vs_pooled,1
worsening,2.883818655933762,9,2,11,claude_vs_pooled,1
founded,2.883818655933762,9,2,11,claude_vs_pooled,1
treated,2.883818655933762,9,2,11,claude_vs_pooled,1
connect,2.883818655933762,9,2,11,claude_vs_pooled,1
answers,2.883818655933762,9,2,11,claude_vs_pooled,1
wrong,2.881920798793792,12,6,18,claude_vs_pooled,1
black,2.881920798793792,12,6,18,claude_vs_pooled,1
numbers,2.881920798793792,12,6,18,claude_vs_pooled,1
itself,2.867206973258794,16,11,27,claude_vs_pooled,1
flat,2.8520297288930037,19,15,34,claude_vs_pooled,1
hospital,2.8482478725712226,11,5,16,claude_vs_pooled,1
signs,2.8259906172886637,15,10,25,claude_vs_pooled,1
appointment,2.8128700337929073,10,4,14,claude_vs_pooled,1
reading,2.8128700337929073,10,4,14,claude_vs_pooled,1
wet,2.80755524737367,9,1,10,claude_vs_pooled,1
us,2.799472480788058,43,51,94,claude_vs_pooled,1
better,2.798916751664322,48,59,107,claude_vs_pooled,1
became,2.7852491166827993,14,9,23,claude_vs_pooled,1
single,2.7834982572653364,23,21,44,claude_vs_pooled,1
low,2.774441165512751,39,45,84,claude_vs_pooled,1
heavily,2.770138532630519,9,3,12,claude_vs_pooled,1
explained,2.770138532630519,9,3,12,claude_vs_pooled,1
hedge,2.7598801401446194,17,13,30,claude_vs_pooled,1
immediate,2.7451828776897584,13,8,21,claude_vs_pooled,1
eyes,2.7451828776897584,13,8,21,claude_vs_pooled,1
index,2.733186279265564,22,20,42,claude_vs_pooled,1
holding,2.706005480730763,12,7,19,claude_vs_pooled,1
waiting,2.706005480730763,12,7,19,claude_vs_pooled,1
keeps,2.706005480730763,12,7,19,claude_vs_pooled,1
substitute,2.7014831561286643,8,2,10,claude_vs_pooled,1
drinks,2.7014831561286643,8,2,10,claude_vs_pooled,1
nobody,2.7014831561286643,8,2,10,claude_vs_pooled,1
more,2.6940633288644107,180,296,476,claude_vs_pooled,1
warning,2.676169216664013,8,1,9,claude_vs_pooled,1
treating,2.676169216664013,8,1,9,claude_vs_pooled,1
long,2.6761274650161155,65,89,154,claude_vs_pooled,1
career,2.667884728102304,11,6,17,claude_vs_pooled,1
figures,2.667884728102304,11,6,17,claude_vs_pooled,1
places,2.667884728102304,11,6,17,claude_vs_pooled,1
lots,2.663434636630253,18,15,33,claude_vs_pooled,1
ask,2.6497448875190233,25,25,50,claude_vs_pooled,1
popular,2.6439055817767936,29,31,60,claude_vs_pooled,1
rash,2.6307609723294445,10,5,15,claude_vs_pooled,1
suggests,2.6307609723294445,10,5,15,claude_vs_pooled,1
simply,2.608491369737912,22,21,43,claude_vs_pooled,1
care,2.6021846410050995,39,47,86,claude_vs_pooled,1
his,2.5963121455547578,66,92,158,claude_vs_pooled,1
gods,2.593787926162746,9,4,13,claude_vs_pooled,1
reporting,2.593787926162746,9,4,13,claude_vs_pooled,1
choosing,2.593787926162746,9,4,13,claude_vs_pooled,1
wait,2.593787926162746,9,4,13,claude_vs_pooled,1
varies,2.593787926162746,9,4,13,claude_vs_pooled,1
people,2.5929852709345127,109,168,277,claude_vs_pooled,1
so,2.5786694353861543,116,181,297,claude_vs_pooled,1
watch,2.5736621245317015,13,9,22,claude_vs_pooled,1
never,2.561277949864368,16,13,29,claude_vs_pooled,1
combination,2.561277949864368,16,13,29,claude_vs_pooled,1
room,2.554242297243756,21,20,41,claude_vs_pooled,1
worried,2.553465131297067,8,3,11,claude_vs_pooled,1
falls,2.553465131297067,8,3,11,claude_vs_pooled,1
he's,2.527554716748629,7,1,8,claude_vs_pooled,1
ideas,2.527554716748629,7,1,8,claude_vs_pooled,1
anymore,2.527554716748629,7,1,8,claude_vs_pooled,1
sick,2.5275447922891843,12,8,20,claude_vs_pooled,1
clear,2.5092142292051345,15,12,27,claude_vs_pooled,1
margin,2.5092142292051345,15,12,27,claude_vs_pooled,1
heavy,2.5092142292051345,15,12,27,claude_vs_pooled,1
away,2.4988382434526137,20,19,39,claude_vs_pooled,1
trust,2.496221317315603,7,2,9,claude_vs_pooled,1
brokers,2.496221317315603,7,2,9,claude_vs_pooled,1
analogy,2.496221317315603,7,2,9,claude_vs_pooled,1
dots,2.496221317315603,7,2,9,claude_vs_pooled,1
scary,2.496221317315603,7,2,9,claude_vs_pooled,1
early,2.4855665878231834,22,22,44,claude_vs_pooled,1
asking,2.4820927431431574,11,7,18,claude_vs_pooled,1
hot,2.4820927431431574,11,7,18,claude_vs_pooled,1
said,2.4820927431431574,11,7,18,claude_vs_pooled,1
forward,2.4820927431431574,11,7,18,claude_vs_pooled,1
advantages,2.4820927431431574,11,7,18,claude_vs_pooled,1
player,2.4820927431431574,11,7,18,claude_vs_pooled,1
breath,2.4820927431431574,11,7,18,claude_vs_pooled,1
pattern,2.4565480100013186,14,11,25,claude_vs_pooled,1
headache,2.437659208115677,10,6,16,claude_vs_pooled,1
work,2.4297043062731505,65,93,158,claude_vs_pooled,1
only,2.4284773768367285,51,69,120,claude_vs_pooled,1
little,2.423857737464854,25,27,52,claude_vs_pooled,1
total,2.4229893732621557,23,24,47,claude_vs_pooled,1
concept,2.4113640899728312,16,14,30,claude_vs_pooled,1
slow,2.403355092312188,13,10,23,claude_vs_pooled,1
week,2.403355092312188,13,10,23,claude_vs_pooled,1
random,2.403355092312188,13,10,23,claude_vs_pooled,1
safety,2.403355092312188,13,10,23,claude_vs_pooled,1
police,2.403355092312188,13,10,23,claude_vs_pooled,1
where,2.3987865576962877,67,97,164,claude_vs_pooled,1
perfectly,2.3945960060706524,9,5,14,claude_vs_pooled,1
checking,2.3945960060706524,9,5,14,claude_vs_pooled,1
writing,2.3945960060706524,9,5,14,claude_vs_pooled,1
seeds,2.3945960060706524,9,5,14,claude_vs_pooled,1
situation,2.3720418220524717,33,40,73,claude_vs_pooled,1
fever,2.372011160261553,26,29,55,claude_vs_pooled,1
there's,2.3698220123798026,20,20,40,claude_vs_pooled,1
broken,2.356475620858961,6,1,7,claude_vs_pooled,1
parents,2.356475620858961,6,1,7,claude_vs_pooled,1
iron,2.356475620858961,6,1,7,claude_vs_pooled,1
reconciled,2.356475620858961,6,1,7,claude_vs_pooled,1
absolutely,2.356475620858961,6,1,7,claude_vs_pooled,1
warrant,2.356475620858961,6,1,7,claude_vs_pooled,1
lets,2.356475620858961,6,1,7,claude_vs_pooled,1
direct,2.3539748695521374,15,13,28,claude_vs_pooled,1
extra,2.3539748695521374,15,13,28,claude_vs_pooled,1
costume,2.3529698175512563,8,4,12,claude_vs_pooled,1
fully,2.349754703446104,12,9,21,claude_vs_pooled,1
tiny,2.349754703446104,12,9,21,claude_vs_pooled,1
word,2.349754703446104,12,9,21,claude_vs_pooled,1
started,2.349754703446104,12,9,21,claude_vs_pooled,1
sometimes,2.3237012070138148,46,62,108,claude_vs_pooled,1
withdrawals,2.3114013733232555,7,3,10,claude_vs_pooled,1
pizza,2.3114013733232555,7,3,10,claude_vs_pooled,1
earnings,2.3114013733232555,7,3,10,claude_vs_pooled,1
smooth,2.3114013733232555,7,3,10,claude_vs_pooled,1
out,2.3001845800735,79,120,199,claude_vs_pooled,1
expensive,2.295929413369589,11,8,19,claude_vs_pooled,1
fact,2.295929413369589,11,8,19,claude_vs_pooled,1
super,2.295390616180049,14,12,26,claude_vs_pooled,1
happy,2.295390616180049,14,12,26,claude_vs_pooled,1
causes,2.2707047728323757,36,46,82,claude_vs_pooled,1
agi,2.2617411460163095,6,2,8,claude_vs_pooled,1
classic,2.2617411460163095,6,2,8,claude_vs_pooled,1
partners,2.2617411460163095,6,2,8,claude_vs_pooled,1
historically,2.2617411460163095,6,2,8,claude_vs_pooled,1
empty,2.2617411460163095,6,2,8,claude_vs_pooled,1
views,2.2617411460163095,6,2,8,claude_vs_pooled,1
shaped,2.2617411460163095,6,2,8,claude_vs_pooled,1
reported,2.2617411460163095,6,2,8,claude_vs_pooled,1
forecasting,2.2617411460163095,6,2,8,claude_vs_pooled,1
fainting,2.2617411460163095,6,2,8,claude_vs_pooled,1
changed,2.2617411460163095,6,2,8,claude_vs_pooled,1
families,2.2617411460163095,6,2,8,claude_vs_pooled,1
loop,2.2617411460163095,6,2,8,claude_vs_pooled,1
decades,2.2617411460163095,6,2,8,claude_vs_pooled,1
tricky,2.2617411460163095,6,2,8,claude_vs_pooled,1
hey,2.2617411460163095,6,2,8,claude_vs_pooled,1
ai,2.260316300248471,73,110,183,claude_vs_pooled,1
called,2.249712196976891,53,75,128,claude_vs_pooled,1
dizziness,2.242153810793627,10,7,17,claude_vs_pooled,1
essentially,2.242153810793627,10,7,17,claude_vs_pooled,1
ones,2.242153810793627,10,7,17,claude_vs_pooled,1
weight,2.23557383157656,13,11,24,claude_vs_pooled,1
needs,2.222666535111735,32,40,72,claude_vs_pooled,1
again,2.201532598924171,15,14,29,claude_vs_pooled,1
comes,2.201532598924171,15,14,29,claude_vs_pooled,1
hold,2.201532598924171,15,14,29,claude_vs_pooled,1
results,2.201532598924171,15,14,29,claude_vs_pooled,1
hours,2.1889954196363,33,42,75,claude_vs_pooled,1
near,2.188833086489728,9,6,15,claude_vs_pooled,1
says,2.188833086489728,9,6,15,claude_vs_pooled,1
shortness,2.188833086489728,9,6,15,claude_vs_pooled,1
yields,2.188833086489728,9,6,15,claude_vs_pooled,1
scientists,2.1847673504991536,17,17,34,claude_vs_pooled,1
going,2.182568039583259,21,23,44,claude_vs_pooled,1
current,2.175647871069402,46,64,110,claude_vs_pooled,1
running,2.1745001892653844,12,10,22,claude_vs_pooled,1
causing,2.1745001892653844,12,10,22,claude_vs_pooled,1
sounds,2.1745001892653844,12,10,22,claude_vs_pooled,1
point,2.159128110595772,26,31,57,claude_vs_pooled,1
identical,2.154976820459557,5,1,6,claude_vs_pooled,1
finish,2.154976820459557,5,1,6,claude_vs_pooled,1
examined,2.154976820459557,5,1,6,claude_vs_pooled,1
pale,2.154976820459557,5,1,6,claude_vs_pooled,1
backed,2.154976820459557,5,1,6,claude_vs_pooled,1
inflammatories,2.154976820459557,5,1,6,claude_vs_pooled,1
comparison,2.154976820459557,5,1,6,claude_vs_pooled,1
younger,2.154976820459557,5,1,6,claude_vs_pooled,1
couldn't,2.154976820459557,5,1,6,claude_vs_pooled,1
f,2.154976820459557,5,1,6,claude_vs_pooled,1
divide,2.154976820459557,5,1,6,claude_vs_pooled,1
screening,2.154976820459557,5,1,6,claude_vs_pooled,1
exam,2.154976820459557,5,1,6,claude_vs_pooled,1
scheduling,2.154976820459557,5,1,6,claude_vs_pooled,1
forced,2.154976820459557,5,1,6,claude_vs_pooled,1
catch,2.136542601154941,8,5,13,claude_vs_pooled,1
double,2.136542601154941,8,5,13,claude_vs_pooled,1
oil,2.136542601154941,8,5,13,claude_vs_pooled,1
robot,2.136542601154941,8,5,13,claude_vs_pooled,1
disparity,2.136542601154941,8,5,13,claude_vs_pooled,1
he,2.1220422705678113,61,91,152,claude_vs_pooled,1
matter,2.1195031330533416,16,16,32,claude_vs_pooled,1
full,2.1195031330533416,16,16,32,claude_vs_pooled,1
guidance,2.118144894395599,20,22,42,claude_vs_pooled,1
already,2.114492948642948,18,19,37,claude_vs_pooled,1
exactly,2.1121691638176356,11,9,20,claude_vs_pooled,1
thing,2.1121691638176356,11,9,20,claude_vs_pooled,1
blood,2.1044387898075345,72,111,183,claude_vs_pooled,1
cheaper,2.0860072054012866,7,4,11,claude_vs_pooled,1
predicting,2.0860072054012866,7,4,11,claude_vs_pooled,1
privacy,2.0860072054012866,7,4,11,claude_vs_pooled,1
stand,2.0860072054012866,7,4,11,claude_vs_pooled,1
yet,2.0860072054012866,7,4,11,claude_vs_pooled,1
source,2.078024206572889,23,27,50,claude_vs_pooled,1
kids,2.071105672850038,13,12,25,claude_vs_pooled,1
